n: 602, s: 12, Numero de iteraciones: 100, Tiempo estimado de falla: 0.02055959788978948, Desviacion estandar de los tiempos de falla: 0.006452351730348183
n: 65, s: 810, Numero de iteraciones: 2499, Tiempo estimado de falla: 12.673683865621596, Desviacion estandar de los tiempos de falla: 0.999643345902627
n: 193, s: 790, Numero de iteraciones: 100, Tiempo estimado de falla: 4.112831177812382, Desviacion estandar de los tiempos de falla: 0.13922926695897925
n: 770, s: 235, Numero de iteraciones: 100, Tiempo estimado de falla: 0.30617556913615673, Desviacion estandar de los tiempos de falla: 0.02289712489468474
n: 351, s: 497, Numero de iteraciones: 100, Tiempo estimado de falla: 1.4199782069962095, Desviacion estandar de los tiempos de falla: 0.06816486616106462
n: 434, s: 573, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3286489416381009, Desviacion estandar de los tiempos de falla: 0.05994575156310537
n: 430, s: 437, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0188362779919962, Desviacion estandar de los tiempos de falla: 0.051854295856983666
n: 541, s: 392, Numero de iteraciones: 100, Tiempo estimado de falla: 0.726468656472418, Desviacion estandar de los tiempos de falla: 0.03600111601075761
n: 101, s: 642, Numero de iteraciones: 2499, Tiempo estimado de falla: 6.433488321352689, Desviacion estandar de los tiempos de falla: 0.9996064486966698
n: 760, s: 257, Numero de iteraciones: 100, Tiempo estimado de falla: 0.3387736805456478, Desviacion estandar de los tiempos de falla: 0.02057712758710657
n: 841, s: 455, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5442297776212993, Desviacion estandar de los tiempos de falla: 0.024052035056056045
n: 668, s: 43, Numero de iteraciones: 100, Tiempo estimado de falla: 0.06611287162169029, Desviacion estandar de los tiempos de falla: 0.010574468178177103
n: 813, s: 721, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8919468105008543, Desviacion estandar de los tiempos de falla: 0.03697716564963401
n: 629, s: 558, Numero de iteraciones: 100, Tiempo estimado de falla: 0.891824335738493, Desviacion estandar de los tiempos de falla: 0.035711837240844146
n: 528, s: 201, Numero de iteraciones: 100, Tiempo estimado de falla: 0.3840561893263625, Desviacion estandar de los tiempos de falla: 0.027615005029897225
n: 954, s: 340, Numero de iteraciones: 100, Tiempo estimado de falla: 0.3599485160072634, Desviacion estandar de los tiempos de falla: 0.018645434852529157
n: 261, s: 643, Numero de iteraciones: 100, Tiempo estimado de falla: 2.466672834133357, Desviacion estandar de los tiempos de falla: 0.09525952144402883
n: 360, s: 781, Numero de iteraciones: 100, Tiempo estimado de falla: 2.175158837624056, Desviacion estandar de los tiempos de falla: 0.08029986486400115
n: 578, s: 495, Numero de iteraciones: 100, Tiempo estimado de falla: 0.859513428722328, Desviacion estandar de los tiempos de falla: 0.03877539376053564
n: 499, s: 685, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3859702668445886, Desviacion estandar de los tiempos de falla: 0.0539808841561169
n: 949, s: 126, Numero de iteraciones: 100, Tiempo estimado de falla: 0.13348756824759994, Desviacion estandar de los tiempos de falla: 0.011936162705495234
n: 822, s: 84, Numero de iteraciones: 100, Tiempo estimado de falla: 0.10411140705999017, Desviacion estandar de los tiempos de falla: 0.01156515144058022
n: 372, s: 478, Numero de iteraciones: 100, Tiempo estimado de falla: 1.2980245453373949, Desviacion estandar de los tiempos de falla: 0.05688727946771779
n: 794, s: 548, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6926554751733078, Desviacion estandar de los tiempos de falla: 0.02960026940687069
n: 372, s: 692, Numero de iteraciones: 100, Tiempo estimado de falla: 1.8643768020718183, Desviacion estandar de los tiempos de falla: 0.06702331551702405
n: 948, s: 847, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8913658370641008, Desviacion estandar de los tiempos de falla: 0.03179668595864024
n: 691, s: 382, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5532482499936803, Desviacion estandar de los tiempos de falla: 0.028437644748904287
n: 747, s: 192, Numero de iteraciones: 100, Tiempo estimado de falla: 0.2615427549870844, Desviacion estandar de los tiempos de falla: 0.018215577938467908
n: 525, s: 915, Numero de iteraciones: 100, Tiempo estimado de falla: 1.7534999998216625, Desviacion estandar de los tiempos de falla: 0.06004027879015162
n: 870, s: 253, Numero de iteraciones: 100, Tiempo estimado de falla: 0.29163009942549756, Desviacion estandar de los tiempos de falla: 0.01829421987924853
n: 383, s: 488, Numero de iteraciones: 100, Tiempo estimado de falla: 1.2822168890171408, Desviacion estandar de los tiempos de falla: 0.05156286259906487
n: 671, s: 919, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3763344001611164, Desviacion estandar de los tiempos de falla: 0.04638664555693339
n: 620, s: 415, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6702184075989935, Desviacion estandar de los tiempos de falla: 0.032131435731799184
n: 443, s: 837, Numero de iteraciones: 100, Tiempo estimado de falla: 1.902888223183411, Desviacion estandar de los tiempos de falla: 0.061716517992211534
n: 546, s: 269, Numero de iteraciones: 100, Tiempo estimado de falla: 0.4974176719142584, Desviacion estandar de los tiempos de falla: 0.03163751590546947
n: 416, s: 343, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8250152519092441, Desviacion estandar de los tiempos de falla: 0.04687096461113034
n: 29, s: 867, Numero de iteraciones: 2499, Tiempo estimado de falla: 30.9889841684771, Desviacion estandar de los tiempos de falla: 0.99974072502402
n: 2, s: 792, Numero de iteraciones: 2832, Tiempo estimado de falla: 793.630435419636, Desviacion estandar de los tiempos de falla: 1.0570073283227752
n: 525, s: 639, Numero de iteraciones: 100, Tiempo estimado de falla: 1.2272795491019532, Desviacion estandar de los tiempos de falla: 0.04704936331158295
n: 569, s: 508, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8988408739061022, Desviacion estandar de los tiempos de falla: 0.04136748707209193
n: 273, s: 883, Numero de iteraciones: 100, Tiempo estimado de falla: 3.2569441780543227, Desviacion estandar de los tiempos de falla: 0.11539601364801431
n: 398, s: 889, Numero de iteraciones: 100, Tiempo estimado de falla: 2.237366534092477, Desviacion estandar de los tiempos de falla: 0.06629457448302006
n: 887, s: 433, Numero de iteraciones: 100, Tiempo estimado de falla: 0.4902321480341787, Desviacion estandar de los tiempos de falla: 0.025059410974180074
n: 295, s: 377, Numero de iteraciones: 100, Tiempo estimado de falla: 1.286260567048109, Desviacion estandar de los tiempos de falla: 0.06366149211365883
n: 637, s: 139, Numero de iteraciones: 100, Tiempo estimado de falla: 0.21942162407994617, Desviacion estandar de los tiempos de falla: 0.01899170186701537
n: 678, s: 921, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3549236138768501, Desviacion estandar de los tiempos de falla: 0.04726791629179003
n: 392, s: 94, Numero de iteraciones: 100, Tiempo estimado de falla: 0.24166171126502775, Desviacion estandar de los tiempos de falla: 0.0268797329733472
n: 821, s: 78, Numero de iteraciones: 100, Tiempo estimado de falla: 0.09728173335773775, Desviacion estandar de los tiempos de falla: 0.012446659281344108
n: 569, s: 233, Numero de iteraciones: 100, Tiempo estimado de falla: 0.4101484522667703, Desviacion estandar de los tiempos de falla: 0.03112656116314337
n: 502, s: 391, Numero de iteraciones: 100, Tiempo estimado de falla: 0.7817397977126, Desviacion estandar de los tiempos de falla: 0.041127620055737134
n: 469, s: 961, Numero de iteraciones: 100, Tiempo estimado de falla: 2.0652505580479086, Desviacion estandar de los tiempos de falla: 0.06303388468225041
n: 373, s: 229, Numero de iteraciones: 100, Tiempo estimado de falla: 0.6210810850491657, Desviacion estandar de los tiempos de falla: 0.044631582117653106
n: 52, s: 261, Numero de iteraciones: 2499, Tiempo estimado de falla: 5.136162792010994, Desviacion estandar de los tiempos de falla: 0.9996405580497403
n: 683, s: 664, Numero de iteraciones: 100, Tiempo estimado de falla: 0.9744932340986816, Desviacion estandar de los tiempos de falla: 0.03934191057699928
n: 233, s: 284, Numero de iteraciones: 100, Tiempo estimado de falla: 1.2321599158626952, Desviacion estandar de los tiempos de falla: 0.06972185799411625
n: 208, s: 91, Numero de iteraciones: 100, Tiempo estimado de falla: 0.43848272575256925, Desviacion estandar de los tiempos de falla: 0.04698825268371802
n: 713, s: 961, Numero de iteraciones: 100, Tiempo estimado de falla: 1.3497382561215014, Desviacion estandar de los tiempos de falla: 0.04408148510252169
n: 803, s: 463, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5803718820749156, Desviacion estandar de los tiempos de falla: 0.028171400379423433
n: 808, s: 38, Numero de iteraciones: 100, Tiempo estimado de falla: 0.04881411177244692, Desviacion estandar de los tiempos de falla: 0.007690751925576496
n: 51, s: 13, Numero de iteraciones: 100, Tiempo estimado de falla: 0.26816226238657065, Desviacion estandar de los tiempos de falla: 0.08389324612467404
n: 231, s: 727, Numero de iteraciones: 100, Tiempo estimado de falla: 3.1622400127063903, Desviacion estandar de los tiempos de falla: 0.12154073727731864
n: 13, s: 964, Numero de iteraciones: 2512, Tiempo estimado de falla: 80.36495834145451, Desviacion estandar de los tiempos de falla: 1.0023886611464314
n: 935, s: 973, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0387677162506188, Desviacion estandar de los tiempos de falla: 0.03116948395474675
n: 796, s: 427, Numero de iteraciones: 100, Tiempo estimado de falla: 0.5407714046109532, Desviacion estandar de los tiempos de falla: 0.02423399568389604
n: 312, s: 620, Numero de iteraciones: 100, Tiempo estimado de falla: 1.9891883604030929, Desviacion estandar de los tiempos de falla: 0.08361127731513807
n: 469, s: 873, Numero de iteraciones: 100, Tiempo estimado de falla: 1.8669121542941909, Desviacion estandar de los tiempos de falla: 0.06267352302722855
n: 77, s: 900, Numero de iteraciones: 2499, Tiempo estimado de falla: 11.876027419547453, Desviacion estandar de los tiempos de falla: 0.9996028647396141
n: 891, s: 153, Numero de iteraciones: 100, Tiempo estimado de falla: 0.17308072023647803, Desviacion estandar de los tiempos de falla: 0.014348228004927487
n: 214, s: 748, Numero de iteraciones: 100, Tiempo estimado de falla: 3.5470581098004437, Desviacion estandar de los tiempos de falla: 0.13676269779418973
n: 348, s: 352, Numero de iteraciones: 100, Tiempo estimado de falla: 1.0069269589180854, Desviacion estandar de los tiempos de falla: 0.06768452469782327
n: 66, s: 630, Numero de iteraciones: 2499, Tiempo estimado de falla: 9.70337331318463, Desviacion estandar de los tiempos de falla: 0.9996334205824068
n: 129, s: 471, Numero de iteraciones: 100, Tiempo estimado de falla: 3.6911016819337266, Desviacion estandar de los tiempos de falla: 0.16107639041113106
n: 438, s: 357, Numero de iteraciones: 100, Tiempo estimado de falla: 0.8202728169725327, Desviacion estandar de los tiempos de falla: 0.04576939192405721
n: 354, s: 442, Numero de iteraciones: 100, Tiempo estimado de falla: 1.2480450037483926, Desviacion estandar de los tiempos de falla: 0.06324533878013086
n: 252, s: 116, Numero de iteraciones: 100, Tiempo estimado de falla: 0.46980704431486375, Desviacion estandar de los tiempos de falla: 0.04712203415764301
n: 264, s: 520, Numero de iteraciones: 100, Tiempo estimado de falla: 1.9664036253052317, Desviacion estandar de los tiempos de falla: 0.08231771783205265
n: 196, s: 18, Numero de iteraciones: 100, Tiempo estimado de falla: 0.09510299446081438, Desviacion estandar de los tiempos de falla: 0.02166771783537187
n: 98, s: 478, Numero de iteraciones: 2499, Tiempo estimado de falla: 4.939094973913435, Desviacion estandar de los tiempos de falla: 0.9996067743989365
n: 425, s: 755, Numero de iteraciones: 100, Tiempo estimado de falla: 1.7853415319338504, Desviacion estandar de los tiempos de falla: 0.0576028015364204
n: 128, s: 167, Numero de iteraciones: 100, Tiempo estimado de falla: 1.325969706128128, Desviacion estandar de los tiempos de falla: 0.11009866609532198
n: 573, s: 875, Numero de iteraciones: 100, Tiempo estimado de falla: 1.532640950205636, Desviacion estandar de los tiempos de falla: 0.051737741343339326
n: 136, s: 150, Numero de iteraciones: 100, Tiempo estimado de falla: 1.1091558838188806, Desviacion estandar de los tiempos de falla: 0.09181057550966168
n: 617, s: 692, Numero de iteraciones: 100, Tiempo estimado de falla: 1.1258145640859616, Desviacion estandar de los tiempos de falla: 0.040444301731153424
